odd_bert,Instead of going to the gym i just sit around nd drink protein shakes
ShQ24,"""@Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.""   عدل 👍"
rtenorio24_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Loella_Bear,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
GfultzGlenn,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ClareRies,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AntonyLoca,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
iwriteDemi,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
livvy9413,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
janeadaya28,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
dddrury,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
simonee123_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ZoeAlberti,All athletes know that you basically marry chocolate milk after a workout.
f4tin_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ASuilan,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
pashminakashkha,"""@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
AniqueCox,"diet starts tomorrow, off for a food shop, back on the porridge and green tea, open to tips if anyone can offer me advice #WeightLoss"
BOYLEY_,All ready to eat my tea after the gym and just read that story in the echo about that sick bastard who snapped his dogs legs for nothing 😷😔
mccarthygroup1,0wned by DodePersie #DodeOnTTI ~ Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
lostsoledoh,Does it matter if you drink Gatorade post work out? Or is beer socially acceptable these days? It's been a while since I've hit the gym...
shaunacurls_,Wish I had a fridge  of cold cans of coke in my room 🍺🍺🍺🍺🍺
Henery03539394,0wned by DodePersie #DodeOnTTI ~ Mixing alcohol with diet coke will get you more drunk than mixing it with regular coke.
Hayley_Large,All I'm gonna do tomorrow is drink beer and watch football.. oh and yoga
SportLifeSupps,Post #workout protein #smoothie: 1 scoop AOR's Advanced Whey + 1 cup spinach + 1 cup berries + 1 cup almond milk + 1 frozen banana
kortakin,"So I turned down ice cream at work and went to the gym on Friday... that means I can drink a lot of beer this weekend right? Yep, okay. 😁👌"
NoraTheXplrer,"I will never be a girl who drink any of those ""skinny girl"" cocktails. Give me beer or give me death. 🍻"
angellazcano13,@theecab I've been sick the last couple days so I tried to drink coffee and workout to sweat out my sickness and now i feel 💩 lol
MalouVargas,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
rk2006rakesh,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
JDubbz83,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
HelloSexyMe,Performance recovery beverage helps your body recover faster & extends endurance up to 55% next workout #fitne... http://t.co/AJza3ArMtA
MarzarioNick,"“@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.” @JeffCataldo"
mcguinessbruh,I was eating dinner by myself and then I read my coke. Soda has no chill http://t.co/VLFXvWWI0N
sathish0808,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
siscog93,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
olddirtyswami,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
kaushik_ingti,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
designerbodies,"Alcoholic beverages are some of the emptiest calories. Replace them with water, and help the weight come off"
YogaBuzzSTL,"@stlsocialgroup We do a yoga class, then a social hour. At the breweries it's a beer tasting, but we are working on coffee, wine, ice cream"
TAMPORUROT101,"@mcqueenise ""@Fact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
Ferrero_Sheryl,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
saraicisnerosss,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
justforannex,There are a couple of girls sitting across from me with green drinks.... and I'm just here with my muffin and coffee being fat
hev_khalifa,operation lose weight n drink less alcohol starts eh........... soon
CJVelvet,@StrangeChedder have you ever tried having Chocolate milk after a workout? #SayWhat?!
deathbyshannons,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
THEZACH8115,@JennaPetrarcaxo lol I always would hide his soda on him and ask him where he put it
jeromejapok,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
SajanHrithikian,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
iw2b84,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
_originalmahone,Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
4realzdome,"“@katrinatrix: “@4realzdome: Tea ✔️  Workout ✔️  Shake ✔️  Beauty rest 👍” but ur ugly” dats why I sleep,tryna get purty for des niggaz 😂😘"
itsme_ireeses,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
creepdelacoop,feel like I should go on a water diet until the weekend
billsienerth,@FitFluential No food for me only a pre workout drink im the same way! #BSN
sarahMLjhpm99,All athletes know that you basically marry chocolate milk after a workout.
ItsJerryHD,I was eating dinner by myself and then I read my coke. Soda has no chill http://t.co/VLFXvWWI0N
Jesusizabeaner,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ramsaurjacob,"""@TheUnusuaIFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."" too bad I'm allergic"
ElKrazyKid,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
TheWeirdWorld,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
jassko24,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Jayjay_14_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
itsnanis10,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Females_View,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
hellokelly929,"“@TheWeirdWorld: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.” Or make you nauseous 💁"
slim_grim,"""@AllAthletesKnow: All athletes know that you basically marry chocolate milk after a workout."""
madz_elizabeth,“@AllAthletesKnow: All athletes know that you basically marry chocolate milk after a workout.”
mikebootac,I could work out or I could drink wine in the bath tub. #LifeChoices
AminKenjin333,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
_haylei9,“@AllAthletesKnow: All athletes know that you basically marry chocolate milk after a workout.” I'd marry chocolate milk anytime
MCoombs3,All athletes know that you basically marry chocolate milk after a workout.
mariaaaag__,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
NitaaLynn13,Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
mac11_j,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
serenabryant15,"Everytime I come back from the gym, i treat myself with a glass of chocolate milk 💪👅"
AceMulatto,"@HoodCertified like what sit on your fat ass all day, drink beer and watch the Dodgers?  Stfu loser, youre gonna be hungover all day like me"
ibethat_high,Nothing like a coffee latte shake after a great workout at fitcamp 💪😈 http://t.co/hyFHwBuiwC
MaddieBack,All athletes know that you basically marry chocolate milk after a workout.
